"DateUncertainty"	"Date"	"Year"	"Time"	"AP"	"ID"	"L1"	"L2"	"L3"	"L4"	"R1"	"R2"	"R3"	"Nest"	"Focal"	"Bled"	"Recap"	"NewFemale"	"Plasma"	"DateBled"	"Sex"	"Tissue"	"CCL"	"CCW"	"SCL"	"SCW"	"PL"	"PW"	"NumLeech"	"ClutchSize"	"TopEgg"	"NestDepth"	"LogNumTop"	"LogNumMid"	"LogNumBott"	"LoggerNum"	"LaunchDate"	"FisheyePhoto"	"DateDead"	"Predated"	"NumEggsHatched"	"NumEggsDead"	"egg1"	"egg2"	"egg3"	"egg4"	"egg5"	"egg6"	"egg7"	"egg8"	"egg9"	"egg10"	"egg11"	"egg12"	"egg13"	"egg14"	"egg15"	"egg16"	"egg17"	"egg18"	"egg19"	"egg20"	"egg21"	"egg22"	"MeanEggMass"	"Toeclip"	"Cort"	"Clutch"	"NumPectoralRidges"	"Comments"	"NestNotes"	"Veg.N"	"Veg.S"	"Veg.E"	"Veg.W"	"Film"	"Primi"	"JanzenNum"	"SoilType"	"Aspect"	"Slope"	"L.Foreclaw"	"Location"	"Aquatic"	"Deceased"	"newID"	"TrueID"	"UnknownID"	"Flag"	"YearDayLaid"	"Flagbin"	"Dummy"	"SexComments"	"Age"	"Cohort"	"Xcoord"	"Ycoord"	"DTW"	"Match"
NA	6/4/17	2017	907	PM	NA	1	3	9	NA	8	9	NA	83	NA	Y	Y	N	Y	NA	Female	NA	178	151	163.84	118.38	150.98	99.89	NA	NA	3.6	8.9	NA	NA	NA	NA	NA	32	"6/7/17"	TRUE	NA	NA	7.2	6.96	7.26	7.18	7.41	7.27	7.6	6.88	7.16	7.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	7	Re-filed		NA	NA	NA	NA	NA	FALSE	NA	Loam	66	10	NA	"South Potters"	NA	NA	101030900080900	101030900080900	0	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	0
NA	6/4/17	2017	933	PM	NA	8	10	NA	NA	9	10	NA	84	NA	Y	Y	N	Y	NA	Female	NA	173	149	160.5	121.7	161.43	102.86	NA	NA	6.4	9.3	NA	NA	NA	NA	NA	41	"6/7/17"	TRUE	NA	NA	7.52	7.44	7.78	8.24	7.62	7.35	7.41	7.4	7.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA			NA	NA	NA	NA	NA	FALSE	NA	Loam	306	6	NA	"South Potters"	NA	NA	108100000091000	108100000091000	0	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	0
NA	6/4/17	2017	941	PM	NA	2	3	NA	NA	3	8	10	85	NA	Y	Y	N	Y	NA	Female	NA	171	156	157.86	118.66	153.41	98.9	NA	NA	3.4	8.3	NA	NA	NA	NA	NA	31	"6/7/17"	TRUE	NA	NA	7.2	7.6	7.48	6.86	7.12	7.14	7.29	7.36	7.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA			NA	NA	NA	NA	NA	FALSE	NA	Loam	26	4	NA	"South Potters"	NA	NA	102030000030810	102030000030810	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/4/17	2017	1018	PM	NA	8	10	NA	NA	1	3	NA	86	NA	Y	Y	N	Y	NA	Female	NA	170	150	160	113.69	146.42	94.42	NA	NA	2.2	8.7	NA	NA	NA	NA	NA	7790	"6/6/17"	TRUE	NA	NA	7.47	7.39	7.41	7.24	7.95	7.47	NA	7.26	7.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"Bump on L4 plastral, refiled"		NA	NA	NA	NA	NA	FALSE	NA	Loam	85	9	NA	"South Potters"	NA	NA	108100000010300	108100000010300	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/5/17	2017	1027	PM	NA	2	9	11	NA	11	NA	NA	87	NA	Y	Y	N	Y	NA	Female	NA	174	162	158.57	124.62	152.74	101.9	NA	NA	6.3	9.3	NA	NA	NA	NA	NA	81	"6/6/17"	TRUE	NA	NA	8.31	8.05	7.49	7.38	8.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA			NA	NA	NA	NA	NA	FALSE	NA	Gravel	278	3	NA	"South Potters"	NA	NA	102091100110000	102091100110000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/5/17	2017	814	PM	NA	11	NA	NA	NA	2	9	NA	88	NA	Y	Y	N	Y	NA	Female	NA	181	154	167.44	124.1	156.81	103.28	NA	NA	70	9.3	NA	NA	NA	NA	NA	93	"6/6/17"	TRUE	NA	NA	7.01	7.33	7.24	7.25	7.16	7.28	7.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA			NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	88	7	NA	"South Potters"	NA	NA	111000000020900	111000000020900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/5/17	2017	758	AM	NA	9	12	NA	NA	3	10	NA	89	NA	Y	Y	N	Y	NA	Female	NA	179	161	169.07	122.35	160.31	104.05	NA	NA	8.8	10.1	NA	NA	NA	NA	NA	88	"6/6/17"	TRUE	NA	NA	7.55	7.63	7.44	7.76	7.85	7.44	7.58	7.98	8.08	7.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	Re-filed		NA	NA	NA	NA	NA	FALSE	NA	Gravel	0	7	NA	"South Potters"	NA	NA	109120000031000	109120000031000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/5/17	2017	414	PM	NA	1	11	12	NA	10	NA	NA	90	NA	Y	Y	N	Y	NA	Female	NA	172	154	163.32	122.53	155.2	105.2	NA	NA	3.8	9.6	NA	NA	NA	NA	NA	44	"6/7/17"	TRUE	NA	NA	6.29	6.51	6.78	6.35	6.58	7.21	7.05	6.17	6.68	6.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	7	Re-filed		NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	259	4	NA	"South Potters"	NA	NA	101111200100000	101111200100000	0	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	0
NA	6/5/17	2017	423	PM	NA	8	11	NA	NA	9	10	NA	91	NA	Y	Y	N	Y	NA	Female	NA	173	150	161.05	118.66	148.37	100.79	NA	NA	6.6	9.4	NA	NA	NA	NA	NA	10	"6/6/17"	TRUE	NA	NA	6.63	6.62	6.97	7.12	6.63	6.91	7.3	7.32	7.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"Growth on left side of face, L2 marg. chipped, re-filed"		NA	NA	NA	NA	NA	FALSE	NA	Gravel	290	1	NA	"South Potters"	NA	NA	108110000091000	108110000091000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
NA	6/5/17	2017	456	PM	NA	2	NA	NA	NA	8	9	NA	92	NA	Y	Y	N	Y	NA	Female	NA	167	157	157.99	121.76	158.7	95.14	NA	NA	5.8	9.3	NA	NA	NA	NA	NA	55	"6/6/17"	TRUE	NA	NA	8.26	8.15	7.94	7.91	7.66	7.4	7.97	7.21	8.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N	NA	NA	NA	"L&R13 marg, 4 misshappen verts, L&R5 costals, re-filed, damage on L&R1 marg."		NA	NA	NA	NA	NA	FALSE	NA	LoamGravel	4	15	NA	"South Potters"	NA	NA	102000000080900	102000000080900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
